prompt,summary
"The garment factory produces 665 sets of children's clothing, and the production of adult clothing is 7 times that of children's clothing. How many sets of adult clothing are produced?","var1 = [find](number of sets of children's clothing) #665, var2 = [multiply](var1, 7) # 665 * 7 = 4655, [return](var2) # 4655"
"A professional chicken farmer raised some chickens, and after selling 20% ​​of them, there were 1280 chickens left. How many chickens did this professional chicken farmer have?","var1 = [find](total number of chickens after selling 20%) #1280, var2 = [divide](var1, 0.8) # 1280 / 0.8 = 1600, [return](var2) # 1600"
A kind of candy costs 40.62 yuan for 4 kilograms. How much does it cost to buy 5 kilograms of the same candy?,"var1 = [find](cost per 1 kg of candy) #40.62 / 4, var2 = [multiply](var1, 5) # (40.62 / 4) * 5 = 50.775, [return](var2) # 50.775"
A cow weighs 605 kilograms. An elephant weighs 8 times that of a cow. How much does an elephant weigh?,"var1 = [find](weight of cow) #605, var2 = [multiply](var1, 8) # 605 * 8 = 4840, [return](var2) # 4840"
"There is a box of mineral water, which is distributed to 7 groups on average. Each group gets 4 bottles, and there are 2 bottles in the box. How many bottles are there in this box of mineral water?","var1 = [find](number of groups) #7, var2 = [multiply](var1, 4) # 7 * 4 = 28, var3 = var2 + 2 # 28 + 2 = 30, [return](var3) # 30"
"There is a circular pillar in front of the hotel, and its circumference is measured to be 31.4 decimeters. What is the diameter of this pillar = how many decimeters?","var1 = [find](circumference of pillar) #31.4 decimeters, var2 = [divide](var1, pi) # 31.4 / 3.14 = 10, [return](var2) # 10"
"Mom bought 4 meters of white cloth, and the floral cloth is three times the size of the white cloth. How many meters of floral cloth did you buy?","var1 = [find](meters of white cloth bought) #4, var2 = [multiply](var1, 3) # 4 * 3 = 12, [return](var2) # 12"
"Master Wang remitted 500 yuan from the post office to his home. According to regulations, the remittance fee was 1% of the remittance amount. How much remittance fee should Mr. Wang pay?","var1 = [find](remittance amount) # 500, var2 = [multiply](var1, 0.01) # 500 * 0.01 = 5, [return](var2) # 5"
"There are 75 white rabbits, and the number of black rabbits is 2/5 of that of white rabbits. How many black rabbits are there?","var1 = [find](number of white rabbits) #75, var2 = [multiply](var1, 2/5) # 75 * 2/5 = 30, [return](var2) # 30"
"There are 24 poplars, and the number of willows is 4 times that of poplars. How many willows are there?","var1 = [find](number of poplars) #24, var2 = [multiply](var1, 4) # 24 x 4 = 96, [return](var2) # 96"
"Xiao Ming runs 85 meters per minute, and the number of meters Xiao Hong runs per minute is Xiao Ming's (4/5). How many meters does Xiaohong run per minute?","var1 = [find](Xiao Ming's speed in meters per minute) #85, var2 = [multiply](var1, 4/5) # 85 * (4/5) = 68, [return](var2) #68"
"It is planned to sell 400 TV sets, but the actual sales are 1/5 more than the plan. How many TV sets are actually sold?","var1 = [find](planned number of TV sets) # 400, var2 = [multiply](var1, 1.2) # 400 * 1.2 = 480, [return](var2) # 480"
A number is 1.2 more than 30% of 40. Find this number.,"var1 = [find](30% of 40) #12, var2 = [add](1.2, var1) # 1.2 + 12 = 13.2, [return](var2) # 13.2"
"There are 142 pear trees in the orchard, and 12 times as many apple trees as pear trees. How many apple trees are there?","var1 = [find](number of pear trees) #142, var2 = [multiply](var1, 12) # 142 x 12 = 1704, [return](var2) # 1704"
"In the activity of showing love to the earthquake-stricken areas in Sichuan, the second grade of Qianjin Primary School donated 120 yuan, and the amount donated by the third grade was twice that of the second grade, which was 6 yuan less. How much was the donation for the third grade?","var1 = [find](donation of second grade) #120, var2 = [subtract]([find](double of second grade donation), 6) # 2 * 120 - 6 = 234, [return](var2) # 234"
"The students line up to do exercises, and Xiaohong is ranked 8th. How many people are there in front of her?","var1 = [find](Xiaohong's rank) #8, var2 = [subtract](var1, 1) # 8 - 1 = 7, [return](var2) # 7"
"A TV factory used to produce 116 TV sets per day, but now it produces 12 times the original number. How many TV sets can it produce every day?","var1 = [find](original number of TV sets produced) #116, var2 = [multiply](var1, 12) # 116 * 12 = 1392, [return](var2) # 1392"
A tiger weighs 182 kg. A bear weighs 3 times that of the tiger. How much does the bear weigh?,"var1 = [find](weight of tiger) #182, var2 = [multiply](var1, 3) # 182 * 3 = 546, [return](var2) # 546"
"The circumference of a circular pool is 180 meters. If willows are planted along the perimeter of the pool, one tree is planted every 6 meters. How many trees are planted in total?","var1 = [find](circumference of pool) #180, var2 = [divide](var1, 6) # 180 / 6 = 30, [return](var2) # 30"
"A batch of plush toys was shipped in from the specialty store, 15% of which were sold in the morning and 27% in the afternoon. It is known that the total sales on this day was 840 yuan. How much is the total value of this batch of plush toys?","var1 = [find](total sales for the day) # 840, var2 = [divide](var1, 0.15 + 0.27) # 840 / 0.42 = 2000, [return](var2) # 2000"
"There are 60 more pear trees than peach trees, and peach trees are 40% of pear trees. How many pear trees?","var1 = [find](difference in number of pear trees and peach trees) #60, var2 = [find](percentage of peach trees compared to pear trees) #40%, var3 = solve equation(var2/100 * x = x - var1) # 0.4 * x = x - 60, simplify => 0.6 * x = 60, x = 100, [return](x) # 100"
"There are 120 peach trees in the orchard, and the number of peach trees is 5/6 that of pear trees. How many pear trees are there?","var1 = [find](number of peach trees) #120, var2 = [divide](var1, 5/6) # 120 / (5/6) = 144, [return](var2) # 144"
"A tiger weighs 180 kilograms, and a bear weighs twice as much as the tiger. What is the weight of the bear = how many kilograms?","var1 = [find](weight of tiger) #180, var2 = [multiply](var1, 2) # 180 * 2 = 360, [return](var2) # 360"
"In 2003, the annual per capita income of rural residents in western my country was about 2,800 yuan, roughly equivalent to 80% of the national per capita annual income of rural residents. What is the national per capita annual income of rural residents?","var1 = 2800, var2 = [find](percent equivalent to national per capita annual income) #80%, var3 = [divide](var1, var2) # 2800 / 0.8 = 3500, [return](var3) # 3500"
"There are 400 metasequoias planted in the community, and the number of sycamores planted is 1/4 more than that of metasequoia. How many sycamores are planted?","var1 = [find](number of metasequoias planted) #400, var2 = [multiply](var1, 1.25) # 400 x 1.25 = 500, [return](var2) # 500"
"In order to decorate the venue for the school's sports meeting, the fifth grade bought 700 balloons, and the fourth grade bought twice as many balloons as the fifth grade. How many did the fourth grade buy?","var1 = [find](number of balloons bought by fifth grade) #700, var2 = [multiply](var1, 2) # 700 * 2 = 1400, [return](var2) # 1400"
"The loading capacity of a small truck is 5.4 tons, and the weight of a large truck is three times that of a small truck. How many tons does a large truck weigh?","var1 = [find](loading capacity of small truck) #5.4, var2 = [multiply](var1, 3) # 5.4 * 3 = 16.2, [return](var2) # 16.2"
"There are 370 cabbages in the farmland, and the number of green vegetables is cabbage (4/5). How many green vegetables are there in the farmland?","var1 = [find](number of cabbages) #370, var2 = [multiply](var1, 4/5) # 370 * 4/5 = 296, [return](var2) # 296"
"The school organized tree planting activities. The third grade planted 38 trees, and the fourth grade planted three times as many trees as the third grade. How many trees were planted in the two grades?","var1 = 38, var2 = [multiply](var1, 3) # 38 * 3 = 114, var3 = [add](var1, var2) # 38 + 114 = 152, [return](var3) # 152"
"The food store shipped 350 bottles of fresh milk, and the number of bottles of yogurt was 1.8 times that of fresh milk. How many bottles of yogurt did the grocery store ship?","var1 = [find](number of bottles of fresh milk) # 350, var2 = [multiply](var1, 1.8) # 350 x 1.8 = 630, [return](var2) # 630"
"The tree planters planted 201 poplars this year, three times as many pine trees as poplars. How many pine trees did they plant?","var1 = [find](number of poplars planted) #201, var2 = [multiply](var1, 3) # 201 * 3 = 603, [return](var2) # 603"
